week,ret_1w,ret_1w_fwd,extreme_down,extreme_up,cand_down,rwdv_63,semidev_63,sd_63,arkf_ret_4w,qqq_ret_4w
2021-03-19,0.01698275377795433,-0.07650151795914595,0,0,0,0.3924337710663847,0.48225281768915984,0.7298148581357301,-0.16240620334493494,-0.05552833274059932
2021-03-26,-0.07650151795914595,0.16103353377006824,0,1,0,0.3676808125294889,0.43594981790373744,0.6947436920274933,-0.10118851831195297,0.007165780320641524
2021-04-02,0.16103353377006824,-0.012087424968833527,0,0,0,0.3781847419356643,0.41939436814152536,0.6681422672623416,0.0240419520092785,0.06640698699733427
2021-04-09,-0.012087424968833527,0.10797923272784571,0,0,0,0.34943101450344816,0.4236845224074298,0.6343817825628254,-0.002186205398492014,0.059494220957605926
2021-04-16,0.10797923272784571,-0.129418508517807,0,0,1,0.34672361920634975,0.41620085488224223,0.5932579070236086,0.0265477240383869,0.09297070140976071
2021-04-23,-0.129418508517807,0.14664776641241462,0,1,0,0.34788959889918425,0.47446073754778584,0.6274884216132142,0.07380479074351598,0.08638468246770081
2021-04-30,0.14664776641241462,0.12165225406906499,0,1,0,0.39642373955625554,0.34470102904523525,0.5653307478352658,-0.007056345245362472,0.040515144407068604
2021-05-07,0.12165225406906499,0.0025275511187243804,0,0,0,0.27000171175883314,0.32374728994212587,0.5407587965044867,-0.10408471408633524,-0.008669646435340184
2021-05-14,0.0025275511187243804,-0.37608403707552307,1,0,1,0.25434543765245454,0.36569543340749916,0.5676117943529954,-0.147699288048325,-0.046746879572082456
2021-05-21,-0.37608403707552307,-0.014540849726281668,0,0,0,0.2530980817398176,0.6675159308865191,0.8002779219591913,-0.10960363275889184,-0.03724749825972484
2021-05-28,-0.014540849726281668,0.049197998398169185,0,0,0,0.3384012592191852,0.7196304136660829,0.9060238379330066,-0.04742265822683445,-0.0120849032415844
2021-06-04,0.049197998398169185,-0.06494170452103809,0,0,0,0.6170756989449577,0.7346367926721316,0.9216349753948383,0.01383540379644499,0.01226180028949031
2021-06-11,-0.06494170452103809,-0.0381212096788347,0,0,0,0.6337912822416356,0.749687642907897,0.9413760398610528,0.11800593976161933,0.06632965580106553
2021-06-18,-0.0381212096788347,-0.1434125685891522,0,0,1,0.6448379336659887,0.7713603138261411,0.956509417552917,0.07893838212209126,0.04111025643453203
2021-06-25,-0.1434125685891522,0.06951208234403161,0,0,0,0.6443259822812801,0.7798499357697398,0.9709770221576144,0.07199018263262635,0.04976647614847973
2021-07-02,0.06951208234403161,0.002148026204161768,0,0,0,0.6662692220548193,0.7888697430299083,0.9727590977239193,0.07454083606354667,0.06755870288329824
2021-07-09,0.002148026204161768,-0.08496119276627512,0,0,0,0.6646642184292745,0.8019538192809602,0.9680561998540153,0.05417224092585604,0.06009048707839604
2021-07-16,-0.08496119276627512,0.0700888377157215,0,0,0,0.6663333904891424,0.7924214764742449,0.9426224802279529,-0.024120947983052865,0.036045003727895875
2021-07-23,0.0700888377157215,0.18134067609519477,0,1,0,0.6869812940158965,0.5617816935742824,0.7937231864559696,-0.00633738651214788,0.051007435469291096
