date,btc_vwap,eth_vwap,btc_ret,eth_ret,portfolio_ret
2021-01-02,31457.85546875,759.8143107096354,0.07244595641049698,0.03576393352344988,0.05410494496697343
2021-01-03,33147.6328125,917.8781127929688,0.0523225773227789,0.1889905316560295,0.1206565544894042
2021-01-04,31378.296223958332,1035.2425333658855,-0.05485485484654381,0.12032640293273414,0.03273577404309516
2021-01-05,32883.735677083336,1072.0629475911458,0.04686172835271103,0.03494904967211806,0.04090538901241454
2021-01-06,35739.365885416664,1160.258056640625,0.08327458792280333,0.07905766230583001,0.08116612511431667
2021-01-07,38680.8671875,1225.2336018880208,0.07909232272573548,0.05448907823706057,0.06679070048139803
2021-01-08,39860.994791666664,1191.3687337239583,0.030053181749049234,-0.028028678674402962,0.001012251537323136
2021-01-09,40223.924479166664,1255.7398274739583,0.009063683284392209,0.05262206029683645,0.03084287179061433
2021-01-10,38587.087239583336,1268.296142578125,-0.041544261867224846,0.009949476817526143,-0.015797392524849352
2021-01-11,34820.929036458336,1092.2303059895833,-0.10269907793196839,-0.1494526216686997,-0.12607584980033404
2021-01-12,34396.48828125,1068.4796549479167,-0.012264140779129525,-0.021985003170916687,-0.017124571975023106
2021-01-13,35833.662760416664,1086.5423177083333,0.04093327785034677,0.01676371377020204,0.028848495810274405
2021-01-14,38674.098958333336,1185.2256266276042,0.07628234623577862,0.08693269007431254,0.08160751815504558
2021-01-15,37020.889322916664,1171.0205078125,-0.04368776878104856,-0.012057561141621884,-0.02787266496133522
2021-01-16,36558.6875,1227.0716552734375,-0.01256348357509114,0.046754965240832565,0.01709574083287071
2021-01-17,35527.649739583336,1223.4018147786458,-0.028607586824460848,-0.0029952115648200317,-0.01580139919464044
2021-01-18,36271.067708333336,1234.6802164713542,0.02070913141650098,0.009176651304772954,0.014942891360636968
2021-01-19,36631.833333333336,1354.706298828125,0.009897234945329266,0.09277267468537645,0.05133495481535286
2021-01-20,35165.518229166664,1343.772705078125,-0.04085161886407218,-0.008103567651408454,-0.024477593257740318
2021-01-21,32209.709635416668,1200.9105224609375,-0.08779805815580145,-0.11240107176146032,-0.10009956495863088
2021-01-22,31923.662109375,1184.93212890625,-0.008920454830240922,-0.013394540029742434,-0.011157497429991678
2021-01-23,32307.259765625,1234.6783447265625,0.011944471781212555,0.04112498878072071,0.02653473028096663
2021-01-24,32113.357421875,1337.3315836588542,-0.006019902875438978,0.07986578655692668,0.03692294184074385
2021-01-25,33085.640625,1365.7245686848958,0.029827307636974804,0.02100883425157983,0.025418070944277317
2021-01-26,32131.555338541668,1328.8278401692708,-0.029260790651536913,-0.027387876892382854,-0.028324333771959885
2021-01-27,30787.904947916668,1278.8575032552083,-0.04271666327155225,-0.038330126692175726,-0.04052339498186398
2021-01-28,32449.205729166668,1304.9849446614583,0.05255404973356607,0.02022440028334459,0.03638922500845533
2021-01-29,34929.154296875,1367.9147135416667,0.07364588106505207,0.04709596930438386,0.06037092518471797
2021-01-30,34014.805989583336,1369.0147705078125,-0.026525947048114992,0.0008038621614435154,-0.01286104244333574
2021-01-31,33224.2890625,1327.4679361979167,-0.023514693405402163,-0.030818015197020834,-0.027166354301211497
2021-02-01,33519.873046875,1339.0813802083333,0.008857281519356148,0.008710521397785841,0.008783901458570994
2021-02-02,34965.463541666664,1473.6519775390625,0.0422223301505641,0.09575981666853679,0.06899107340955045
2021-02-03,36798.75390625,1610.6097819010417,0.051103164985497204,0.08886919542704702,0.06998618020627212
2021-02-04,37278.580729166664,1615.2676188151042,0.01295493516475019,0.00288779737877296,0.007921366271761574
2021-02-05,37676.325520833336,1689.9850667317708,0.010613008405253439,0.04521904145138017,0.027916024928316803
2021-02-06,39416.981770833336,1688.4099934895833,0.04516480592964839,-0.0009324388227136247,0.02211618355346738
2021-02-07,38657.143229166664,1602.0048828125,-0.01946515655297589,-0.05253135723043836,-0.035998256891707124
2021-02-08,43492.239583333336,1696.2625325520833,0.11785094549120535,0.05717142393762179,0.08751118471441358
2021-02-09,46550.596354166664,1765.2064208984375,0.06795729289023064,0.039840315370234816,0.05389880413023273
2021-02-10,45314.967447916664,1752.4941813151042,-0.02690242953117058,-0.007227616195787151,-0.017065022863478864
2021-02-11,46853.520833333336,1766.3387451171875,0.03338877189715304,0.007868878988317205,0.020628825442735123
2021-02-12,47558.520833333336,1816.3528238932292,0.014934813221143395,0.027921648902996716,0.021428231062070056
2021-02-13,47181.84765625,1818.775146484375,-0.007951735207348785,0.0013327304950049015,-0.003309502356171942
2021-02-14,48439.8125,1814.3841145833333,0.02631281284317641,-0.002417198764781197,0.011947807039197606
2021-02-15,47722.701822916664,1765.8427327473958,-0.01491483403191821,-0.027118033911094498,-0.021016433971506356
2021-02-16,48914.092447916664,1778.4093831380208,0.02465833020374752,0.007091314410495898,0.01587482230712171
2021-02-17,51251.766927083336,1812.9438883463542,0.04668454996895957,0.019232621855445664,0.03295858591220262
2021-02-18,51723.22265625,1911.8529866536458,0.009156767584534934,0.05312094016968195,0.031138853877108442
2021-02-19,54313.020833333336,1942.132080078125,0.048857130911419286,0.01571345810748111,0.032285294509450196
2021-02-20,56077.1015625,1928.7840169270833,0.031963564866243716,-0.0068966186417087965,0.012533473112267459
2021-02-21,57181.041666666664,1933.4096272786458,0.01949484664121091,0.002395329177842271,0.01094508790952659
2021-02-22,53569.42578125,1766.3577473958333,-0.06524391325405865,-0.09036543385559313,-0.0778046735548259
2021-02-23,49439.981770833336,1576.8179931640625,-0.0802190463631294,-0.11351076865450041,-0.09686490750881491
2021-02-24,49402.989583333336,1616.1927897135417,-0.0007485041924640129,0.02466436556741023,0.011957930687473108
2021-02-25,48712.223958333336,1536.99560546875,-0.014080936347416266,-0.05024364815761213,-0.0321622922525142
2021-02-26,46388.463541666664,1471.0139567057292,-0.04887920614559191,-0.04387767591328192,-0.04637844102943692
