date,ADA-USD,AVAX-USD,BNB-USD,BTC-USD,DOGE-USD,DOT-USD,ETH-USD,LINK-USD,LUNA1-USD,SOL-USD,XRP-USD
2021-01-01,0.17534999549388885,3.664823055267334,37.90501022338867,29374.15234375,0.005685000214725733,8.306818962097168,730.3675537109375,11.872554779052734,0.6494429707527161,1.8420840501785278,0.23744399845600128
2021-01-02,0.17742300033569336,3.4949400424957275,38.24159240722656,32127.267578125,0.010614999569952488,9.208836555480957,774.5349731445312,12.220136642456055,0.6314259767532349,1.7992750406265259,0.2216549962759018
2021-01-03,0.20499500632286072,3.4729440212249756,41.14897918701172,32782.0234375,0.009770999662578106,10.033283233642578,975.5076904296875,13.650172233581543,0.6618949770927429,2.1617519855499268,0.2258480042219162
2021-01-04,0.2247619926929474,3.590243101119995,40.926353454589844,31971.9140625,0.009766999632120132,9.469611167907715,1040.2330322265625,13.571063041687012,0.6702439785003662,2.4850969314575195,0.23667700588703156
2021-01-05,0.25831401348114014,4.237411975860596,41.73460006713867,33992.4296875,0.009920000098645687,9.701656341552734,1100.006103515625,14.539868354797363,0.7166739702224731,2.157217025756836,0.22675000131130219
2021-01-06,0.3318980038166046,4.620357036590576,42.16595458984375,36824.36328125,0.010464999824762344,10.096068382263184,1207.1121826171875,17.155256271362305,0.7161769866943359,1.929216980934143,0.2508949935436249
2021-01-07,0.2999800145626068,4.4766130447387695,43.44948959350586,39371.04296875,0.00974200014024973,9.644584655761719,1225.6781005859375,16.031967163085938,0.8590080142021179,2.3727450370788574,0.32600200176239014
2021-01-08,0.3055970072746277,5.797110080718994,42.39531707763672,40797.609375,0.009846000000834465,9.307134628295898,1224.1971435546875,15.288084983825684,0.8525720238685608,3.2198870182037354,0.32322999835014343
2021-01-09,0.33297300338745117,7.218531131744385,43.93285369873047,40254.546875,0.010193999856710434,9.777765274047852,1281.0772705078125,17.607513427734375,0.8190150260925293,3.3853819370269775,0.32691600918769836
2021-01-10,0.3048950135707855,6.586495876312256,42.4484748840332,38356.44140625,0.009859999641776085,9.305047988891602,1262.2467041015625,16.2474308013916,0.8470690250396729,3.466110944747925,0.31833600997924805
2021-01-11,0.2754659950733185,6.494089126586914,38.371360778808594,35566.65625,0.008834999985992908,8.276439666748047,1090.1453857421875,14.556933403015137,0.7403960227966309,3.1080899238586426,0.28890499472618103
2021-01-12,0.2870030105113983,7.782700061798096,38.111610412597656,33922.9609375,0.008062999695539474,8.264147758483887,1043.4345703125,13.915848731994629,0.7490249872207642,3.6133980751037598,0.2921229898929596
2021-01-13,0.3136090040206909,8.466814994812012,40.13593292236328,37316.359375,0.008616000413894653,10.957710266113281,1130.7393798828125,15.93009090423584,0.8213670253753662,3.513782024383545,0.3055799901485443
2021-01-14,0.3103959858417511,9.26131534576416,41.79368209838867,39187.328125,0.009397000074386597,14.539050102233887,1218.4530029296875,17.826250076293945,0.8314459919929504,3.2781639099121094,0.2954379916191101
2021-01-15,0.3025299906730652,9.380011558532715,40.91897964477539,36825.3671875,0.009368999861180782,13.212381362915039,1171.8345947265625,20.709726333618164,0.7918390035629272,3.2501609325408936,0.28040599822998047
2021-01-16,0.35244399309158325,12.877918243408203,43.17182540893555,36178.140625,0.009265000000596046,18.180423736572266,1233.53759765625,20.21839714050293,0.7615190148353577,3.4470551013946533,0.2801879942417145
2021-01-17,0.3798519968986511,13.20268440246582,45.68461227416992,35791.27734375,0.009066999889910221,16.984254837036133,1230.1722412109375,23.166772842407227,0.8073130249977112,3.81813907623291,0.2773840129375458
2021-01-18,0.3714280128479004,12.701574325561523,45.353172302246094,36630.07421875,0.009170999750494957,16.51292610168457,1257.279541015625,22.03626251220703,0.7997519969940186,3.7955150604248047,0.2847689986228943
2021-01-19,0.3691369891166687,11.790321350097656,42.7855339050293,36069.8046875,0.009097999893128872,16.468509674072266,1377.2958984375,20.754093170166016,0.9104620218276978,3.6418659687042236,0.2943139970302582
2021-01-20,0.37539398670196533,12.411564826965332,42.60689926147461,35547.75,0.009060000069439411,17.948930740356445,1382.2740478515625,21.846776962280273,0.9046739935874939,3.7235779762268066,0.2965179979801178
