date,forward_return,forward_zscore,extreme_label,extreme_binary
2021-01-31,0.5031766751188921,1.6276611449707343,1,1
2021-02-28,0.4883795511390862,1.57571614128208,1,1
2021-03-31,-0.05164303982856126,-0.3200222142290281,0,0
2021-04-30,-0.39421048366083916,-1.5225982795350677,0,0
2021-05-31,0.04599119913598217,0.022720801918810644,0,0
2021-06-30,0.41321752030634346,1.3118613561101846,1,1
2021-07-31,0.21788408204141504,0.6261472818727412,0,0
2021-08-31,0.28460454685332964,0.8603681206988216,0,0
2021-09-30,0.347889507172095,1.0825286906636982,0,0
2021-10-31,-0.1893324220532467,-0.8033779985902852,0,0
2021-11-30,-0.4510988759003709,-1.7223038269615119,-1,1
2021-12-31,-0.2399084942181812,-0.9809242743902696,0,0
2022-01-31,0.24127813246100113,0.7082716215076862,0,0
2022-02-28,-0.031421218706661536,-0.2490339212200665,0,0
2022-03-31,-0.5125248344739187,-1.937938408994928,-1,1
2022-04-30,-0.8221575581777194,-3.0248978071098747,-1,1
2022-05-31,-0.25475698973596783,-1.0330496168213406,0,0
2022-06-30,0.20642907043909925,0.5859346959169884,0,0
2022-07-31,-0.24285695369382373,-0.9912747815933663,0,0
2022-08-31,0.0005756657052473461,-0.13670950729541806,0,0
2022-09-30,-0.09090507059824574,-0.4578507771267,0,0
2022-10-31,-0.23939334351847563,-0.9791158483047047,0,0
2022-11-30,0.283458078078454,0.8563434653116588,0,0
2022-12-31,0.2823413691872283,0.8524232813926055,0,0
2023-01-31,0.1779943934762458,0.4861153390110867,0,0
2023-02-28,0.17064596966768858,0.46031884623571784,0,0
2023-03-31,-0.0017983402179446387,-0.14504340695087753,0,0
2023-04-30,0.02706809465727806,-0.04370837264839292,0,0
2023-05-31,0.02785958349648666,-0.04092986712743296,0,0
2023-06-30,-0.1614831889138022,-0.7056138303553698,0,0
2023-07-31,-0.07607065456065151,-0.4057748604253536,0,0
2023-08-31,0.18698107038304232,0.517662886068837,0,0
2023-09-30,0.3108324744168754,0.9524407285848859,0,0
2023-10-31,0.27055508702875075,0.8110477768666463,0,0
2023-11-30,0.11749004009515406,0.27371603331832645,0,0
2023-12-31,0.40094304878571524,1.2687720727274496,0,0
2024-01-31,0.39441133913984405,1.2458426384596124,0,0
2024-02-29,-0.09323523559125774,-0.4660307740857287,0,0
2024-03-31,0.003849527435393155,-0.12521668207609463,0,0
2024-04-30,0.06315349169574075,0.08296868194867854,0,0
2024-05-31,-0.14422174378985303,-0.6450178772594353,0,0
2024-06-30,-0.20107363334138714,-0.8445952827398316,0,0
2024-07-31,-0.18690514704312347,-0.7948570988852951,0,0
2024-08-31,0.07706691076888807,0.13181145748146245,0,0
2024-09-30,0.37149577193027516,1.165398004431191,0,0
2024-10-31,0.2872953834321513,0.8698142479464687,0,0
